Q60,New York
Q64,Berlin
Q70,Bern
Q84,London
Q90,Paris
Q239,Brussels
Q270,Warsaw
Q727,Amsterdam
Q1741,Vienna
Q1748,Copenhagen
Q1842,Luxembourg
